sku,fullDescription
MXP-DPCN50KS," Nötr pH + Enzim Şampuan INNOVACAR S2 Foamy 
Kil & Lubrikasyon MG PS Aplikatörlü El Kil Pedi • MG PS Kil Bezi 
Lubrikant: GYEON Q²M Clay Lube REDEFINED 
Sıfır Araç Tek Adım Yıkama GYEON Restart Wash 
Seramik Güçlendirici / Yüksek Hidrofobi FRA-BER Bersolwax • INNOVACAR S1 Wash&Coat 
Asidik Aylık Hidrofobi Yenileyici INNOVACAR DS Scale 
Polisaj Sonrası Yüzey Temizliği GYEON Q²M Prep • INNOVACAR D2 Check 
Ekstra Koruma / Sealant Katmanı INNOVACAR SC0 Hydro Sealant • INNOVACAR SC1 Sealant 
Anında Parlaklık / Hidrofobi INNOVACAR W1 Quick Detailer 
 
 
Sıkça Sorulan Sorular (FAQ) 
 
1. Sıfır kilometre araçta kil adımı zorunlu mu? 
– Çoğu yeni araçta ağır kontaminasyon bulunmaz; GYEON Restart Wash ile tek adım yıkama genellikle yeterlidir. 
2. Uygulama için en ideal sıcaklık ve nem aralığı nedir? 
– En iyi sonuçlar 15 – 25 °C hava sıcaklığı ve @ – 70 bağıl nem aralığında elde edilir. Daha düşük sıcaklıkta kürleşme yavaşlar; yüksek nemde terleme daha hızlı başlayacağı için silme işlemini erken yapmak gerekebilir. 
3. Seramiği korumak için ne yapmalı? 
– Kaplama tam kürleştikten sonra (5 gün) INNOVACAR SC0 Hydro Sealant veya SC1 Sealant ile ince bir koruma katmanı uygulayın. 
• SC0 su bazlıdır; yüzeye daha kalın ve uzun ömürlü bir tabaka bırakır, maksimum dayanım hedefleyenler için idealdir. 
• SC1 solvent bazlıdır; çok hızlı uygulama olanağı sağlar, anında hidrofobi sunar fakat kalıcılığı SC0’a göre daha kısadır. 
4. Kil Pedi mi, Kil Bezi mi kullanmalıyım? 
– Pedi dar alanlarda, Bezi geniş panel ve cam yüzeylerde hız için tercih edin; ikisi de Clay Lube ile çiziksiz çalışır. 
5. Kaplamanın parlaklığını nasıl canlı tutarım? 
– Düzenli S2 Foamy yıkama + aylık DS Scale demineralizasyonu ve 4-6 haftada bir S1 Wash&Coat veya Bersolwax takviyesiyle elmas ışıltısını 4 yıl boyunca koruyabilirsiniz. 
 
 
Japon ustalığının imzasını taşıyan ultra yoğun SiO² matrisi, yüzeyi moleküler düzeyde sarar; elmas ışıltısını aracın boyasıyla birleştirir. MX-PRO DIAMOND Plus ile yolun tüm risklerine meydan okuyun."
MXP-CCN50KS,
700405," yapın. 
6. 2 panelde bir temiz mikrofiber bez kullanın. 
 
Adım 3: Koruyucu Kat & Kürleşme Süreci 
1. Uygulamadan 4 saat sonra SC0 Hydro Sealant uygulanabilir. 
2. Aracı 3-4 saat kapalı alanda bekletin. 
3. İlk 7 gün içinde aracı yıkamayın, yağmur/kar altında bırakmayın. 
4. Bakım ürünleri olarak yalnızca Innovacar tavsiye edilen ürünlerini kullanın. 
 
Uyarılar: Ürün açıldıktan sonra 6 ay içinde kullanılmalı; serin, kuru ve ışık almayan ortamda 5–25°C aralığında saklanmalıdır. Uygulama ortamı 5–25°C sıcaklık ve @–60 nem aralığında olmalıdır. MSDS ve ürün etiketi dikkate alınmalıdır. 
 
 
KUTU İÇERİĞİ | Uygulama Seti 
• 30 ml SINH Hybrid Seramik Kaplama 
• Uygulama Bloğu 
• 10 Adet Süet Bez 
• Garanti Etiketi 
• Garanti ve Uygulama Kitapçığı"
Q2-RE30M,"eşme ? 14 gün sürer; bu süre zarfında jant yıkarken yalnızca basınçlı su kullanın.
7. İkinci Kat (Opsiyonel) • Maksimum ömür ve pist/kış koşulları için tavsiye edilir.
• İlk kat uygulamasından ? 60 dk sonra aynı adımları tekrarlayın.
• Silme prosedürü birebir aynıdır. Her ek kat +6-9 ay ekstra dayanım sağlar.
8. İlk Bakım & Koruma Tazeleme • Kürleşmenin ilk saatinden itibaren Q²M Cure ile hafif sis atarak su lekesi riskini düşürebilirsiniz.
• Rutin yıkamalarda Q²M Iron WheelCleaner (pH nötr) veya Q²M Bathe kullanın.
• Fren tozu birikimi arttığında hızlı temizlik için Q²M Iron püskürtüp basınçlı suyla durulamak yeterli. Pahalı fırça & sert kimyasallara gerek kalmaz; kaplamanın hidrofobisi 18 ay boyunca canlı kalır.

Atık Yönetimi: Kullanılan süet, pipet ve mikrofiberleri tekrar kullanmayın; kaplama kürleşip sertleşerek bez liflerinde cam tanecikleri oluşturur ve çizik riskini artırır.

Kullanım Alanları

• Yüksek Performans Jantları – Sıkı frenleme ve pist kullanımında ısıya karşı uzun ömürlü bariyer.
• Günlük Sürüş & Kış Koşulları – Tuz-çamur karışımının yarattığı korozyona karşı koruma.
• Egzoz Uçları & Kaliperler – Aynı yüksek sıcaklık direncinden faydalanarak parlaklığı korur.
• Mat / Satin Finis¸ler – Parlak eklemez; rengi hafif koyulaştırıp derinleştirir.

Neden GYEON Q² Rim EVO?

• Performans Odaklı – 18 ay boyunca fren tozuna, tuza ve sıcaklığa karşı bariyer.
• Daha Az İş, Daha Temiz Jant – Yıkama süresini kısaltır, sadece basınçlı su çoğu zaman yeterli.
• Profesyonel Kolaylık – Alkol içermeyen yavaş flash formül, karmaşık jant tasarımlarında dahi rahat çalışma.
• Ekonomik – Tek şişe ile iki set jant kaplanabilir; işlem başı maliyeti düşürür.

Önerilen Aksesuar & Tamamlayıcı Ürünler

Ürün Amaç Uyum
Q²M Iron WheelCleaner Periyodik demir tozu temizliği Kaplamaya zarar vermez
Q²M TireCleaner Lastik & davlumbaz arındırma Jant temizliğiyle kombine
Q²M Prep Uygulama öncesi yağ çözme Maksimum yapışma
Q²M BaldWipe / SoftWipe Kalıntı silme & parlatma İz bırakmayan mikrofiber

Sıkça Sorulan Sorular (FAQ)

S: Q² Rim EVO mat jantlarda parlaklık yapar mı?
C: Hayır; parlak eklemeden rengi hafif koyulaştırır, sateni bozmaz.
S: Sıcak jant üzerinde uygulanabilir mi?
C: Tavsiye edilmez. Jant yüzeyi el yakmayacak sıcaklığa (? 30 °C) inmelidir.
S: Tek kat koruma için yeterli mi?
C: Evet; 18 aya kadar dayanır. Pist kullanımı veya kış şartları için 2. kat önerilir.
S: Yıkama sonrası hangi temizleyiciyi kullanmalıyım?
C: pH nötr veya hafif alkali şampuanlar idealdir; yoğun kirde Q²M Iron WheelCleaner kullanabilirsiniz.

Daha az kir, daha az çaba, çok daha canlı jantlar… GYEON Q² Rim EVO ile jant bakımını ileri seviyeye taşıyın ve her yıkamada parlayan tekerleklerin keyfini çıkarın!"
Q2-TRE30M,"o-fobi kazandırır
• Motor Plastik Kapakları – Kimyasallara, sıcağa ve yağa dayanıklı saten finisaj
• Çamurluk Dodikleri & Tampon Etekleri – Arazi koşullarında kir-çamur tutmaz, kolay temizlenir

Neden GYEON Q² Trim EVO?

• Gerçek SiO² Altyapısı › Yağsız, kalın ve esnek film
• Kalıcı Restorasyon › Yüzeyde moleküler seviye katman oluşturur.
• Uzun Ömür, Düşük Sarfiyat › 10 ml/araç; tek şişe ? 3 araç
• Kolay & Güvenli › Alkol içermez, yavaş flaşlama sayesinde işlem stresi yok

Önerilen Aksesuar & Tamamlayıcı Ürünler

Ürün Amaç Uyum
Q²M Prep Yağ & silikon temizliği Kaplamanın tam tutunması
Q²M BaldWipe / SoftWipe Fazla ürünü izsiz almak Tüysüz, kenar-yumuşak mikrofiber
Q²M Iron / Tar Kimyasal dekontaminasyon Plastik çevresi & boyada ön temizlik
Q²M Bathe pH-nötr bakım şampuanı Kaplama ömrünü uzatır

Sıkça Sorulan Sorular (FAQ)

Q: Trim EVO’yu iç plastiklerde kullanabilir miyim?
A: Hayır. Ürün UV-darbeye maruz dış yüzeyler için tasarlanmıştır; iç trimde aşırı parlaklık ve kayganlık oluşturabilir.
Q: Çok gözenekli tamponlarda(ızgara) neden silmeme gerek yok?
A: Malzeme ürünün taşıyıcı bileşenini emerek SiO² ağı içeride bırakır; silmek renk dengesini bozabilir.
Q: Katmanladığımda parlama artar mı?
A: İkinci kat renk derinliğini artırır ancak yüksek parlaklığa geçmez; kaplama doğal saten bitişini korur.
Q: Kışın -5 °C’de uygulanabilir mi?
A: Hayır. Minimum yüzey sıcaklığı 5 °C’dir; aksi hâlde kür reaksiyonu yavaşlar, iz bırakabilir.

Pürüzsüz, zırhlı ve ilk günkü gibi koyu trimler için tek adım: Q² Trim EVO’yu uygulayın, kurumasını bekleyin ve farkı görün — siyah mat plastikler artık solmaya karşı üç yıl güvence altında!"
Q2-LSE50M,"uyu korur, sürtünmeyi gözle fark edilir şekilde değiştirmez.
Q: Açık gözenekli anilin deride kullanabilir miyim?
A: Önerilmez; bu tip derilerde LeatherCoat REDEFINED kullanın.
Q: Bir koltukta yüksek parmak izi / parlama kaldı, çözümü?
A: 20 dk içinde fark ederseniz kuru süetle hafifçe seviyelendirin; geç kaldıysanız aynı bölgeyi yeniden uygulayıp anında eşitleyin.
Q: Kürleşme sürecinde aracı kullanabilir miyim?
A: 4 saat sonra kısa sürüşler mümkün, ancak ilk 12 saat kapalı pencere, düşük temas önerilir.

Aracınızın derisini fabrikanın verdiği mat zarafetle uzun yıllar koruyun. Q² LeatherShield EVO ile tek kat, tam koruma: lekelere, UV’ye ve günlük aşınmaya meydan okuyun!"
Q2-VE20M,
79296,
Q2-PPFE50M,"müldür; üretici 1 kat önerir. İkinci kat gerekmez.
Q: Kaplama film self-healing özelliğini bozar mı?
A: Hayır. Esnek polimer yapısı filmle birlikte hareket eder; self-healing performansı korunur.
Q: Dış mekânda uygulayabilir miyim?
A: Rüzgârsız, gölge ve 15-25 °C arası stabil koşullarda evet, ancak ilk 12 saat yağmur-toz temasından kaçınmalısınız.

Film korumasını bir üst seviyeye taşıyın: GYEON Q² PPF EVO ile uzun ömürlü hidrofobi, ipeksi kayganlık ve UV kalkanı tek katla aracınızda!"
Q2-FCNA400M,
79299,
Q2-TYA500M,
Q2-AF120M,
Q2-BS30M,
Q2-PC100M,
Q2-MLE100M,"şmiş ürün sertleşir, sonraki kullanımlarda boyayı çizer.
Q: Kaplama üzerine ne zaman şampuanlı yıkama yapabilirim?
A: En az 7 gün bekleyin; bu sürede sadece duru su kullanın.

Uygula, sil ve kristal parlaklığın tadını çıkar – Q² Mohs EVO ile 5 yıl boyanız güvende!"
Q2M-PYA4000M,
Q2-OLE100M,"rını uzatır, bakım maliyetini düşürür.

Önerilen Aksesuar & Tamamlayıcı Ürünler

Ürün Amaç Uyum
Q²M Coating Applicator Mini Homojen tek kat uygulama Light Box kitiyle birlikte gelir
Q²M Cure İlk kaplama sonrası bakım & dayanım artırma Sertleşmeyi hızlandırır
Q²M CeramicDetailer Düzenli hidrofobi ve parlaklık yenileme Yıkama sonrası taze görünüm sağlar
Q²M QuickDetailer Ara dönem hızlı temizlik Günlük kullanımda ek koruma sunar

Sıkça Sorulan Sorular (FAQ)

S: Katlar arası uygulama mümkün mü?
C: Evet, ikinci kat için min. 1 saat bekleyip ince tabaka sürün.
S: Soğuk havada uygulama yapılır mı?
C: 5 °C altı önerilmez; ılık ortamda en iyi sonucu verir.
S: İlk yıkamadan ne kadar süre sonra araç trafiğe çıkar?
C: 12 saat sonra su ve toz temasına açıktır; tam sertleşme 14 gün sürer.

Yüzeyinizi en üst düzeye taşıyın. Kat, sil ve parıldayan su boncuklarının keyfini çıkar — profesyonel koruma artık herkesin elinde!"
Q2-PR1000M,"re beklenirse, ek bir hazırlık spreyi kullanmaya gerek kalmaz.

Önerilen Polisaj Sistem Bileşenleri

Ürün Amaç Sistemdeki Rolü
GYEON Q²M Polish Ara Kat Cila Q² Primer öncesinde, orta seviye kusurları ve hologramları gidermek için kullanılır.
GYEON Q² Syncro EVO Üst Düzey Seramik Kaplama Q² Primer ile hazırlanmış mükemmel zeminin üzerine uygulanarak uzun süreli koruma ve performans sağlar.
GYEON Q²M Prep Hızlı Hazırlık 24 saatlik bekleme süresi olmadığında, kaplama öncesi yüzeyi hızlıca hazırlamak için kullanılır.
GYEON PolishWipe Kalıntı Temizliği Yüksek kaliteli yapısıyla kalıntıları çiziğe neden olmadan güvenle temizler.

Sıkça Sorulan Sorular (FAQ)

• S: Q² Primer'ın normal bir bitiş cilasından farkı nedir? 
C: Q² Primer, sadece parlatan bir cila değildir. Aynı zamanda içerdiği SiO² sayesinde, üzerine uygulanacak seramik kaplama için bir astar görevi görerek kaplamanın daha iyi yapışmasını ve daha kolay uygulanmasını sağlar.
• S: Bu ürünü kullandıktan sonra yüzeyi Gyeon Q²M Prep ile silmem gerekir mi? 
C: Eğer uygulamadan sonra seramik kaplamayı yapmadan önce 24 saat beklerseniz, Prep ile silmenize gerek yoktur. Eğer 24 saatten daha az beklerseniz, yüzeyi Prep ile silmeniz gerekmektedir.
• S: GYEON Q² Primer, PPF (Boya Koruma Filmi) öncesi kullanılabilir mi? 
C: Hayır, tavsiye edilmez. Q² Primer, yüzeyde seramik kaplamaların tutunması için tasarlanmış kaygan bir SiO² astar katmanı bırakır. Bu katman, PPF yapışkanının boyaya tam olarak bağlanmasını engelleyebilir. PPF uygulaması için yüzeyin kusursuz, ancak kimyasal olarak tamamen çıplak ve arınmış olması gerekir.
• S: Öyleyse, PPF öncesi yüzey hazırlığı için doğru Gyeon ürünleri hangileridir? 
C: PPF öncesi mükemmel yüzey hazırlığı için, çizikleri ve kusurları GYEON Q²M Compound ve/veya GYEON Q²M Polish gibi dolgu içermeyen saf pastalarla gidermelisiniz. Polisaj işlemi bittikten sonra, yüzeydeki tüm polisaj yağlarını arındırmak ve PPF yapışkanı için en ideal çıplak yüzeyi oluşturmak amacıyla son adım olarak tüm panelleri GYEON Q²M Prep ile dikkatlice silmeniz kritik öneme sahiptir.

GYEON İLE VERİMLİLİK VE MÜKEMMEL SONUÇ, HER DEFASINDA."
MXP-HC50KS,
MGPS-6012K,taylandırma hızınızı yeni bir seviyeye taşıyın; geniş panelleri dakikalar içinde pürüzsüzleştirerek polisaj veya kaplama için mükemmel bir zemin hazırlayın!
MGPS-6016P,
MGPS-6009P,"MG PS Kil Bezi 30×30 cm, detay tutkunlarına geniş yüzey avantajı ve hız kazandıran pratik bir çözüm sunar. Dekontaminasyonu rekor sürede tamamlayarak pürüzsüz, korumaya hazır bir yüzey sağlar."
MGPS-6045,
MGPS-6046R,"ğlantısı desteklemez. 
• Seramik kaplama sonrası kullanılır mı? 
Tavsiye edilmez; bu ürün kaplama öncesi hazırlık için idealdir. 
• Nasıl saklamalıyım? 
Yıkayıp tamamen kuruttuktan sonra kapalı kutuda, doğrudan güneş almayan, tozsuz bir ortamda saklayın. 
 
MG PS olarak, Aplikatörlü El Kil Pedi ile detay tutkunlarının beklentilerini karşılayan yenilikçi ve güvenilir çözümler sunuyoruz. Geniş yüzeyiyle dekontaminasyonu dakikalara indiriyor, manuel kullanımda profesyonel sonuç sağlıyoruz."
MGPS-6046F2R,
Q2M-CME," kısalt. Kil’i kaydır, kiri kaldır — profesyonel sonuçlar artık herkesin elinde!"
MGPS-6031B-P,"l Kil Pedi ile detay tutkunlarına pratik, güvenilir ve yenilikçi bir çözüm sunuyoruz. Çift yüzlü tasarım sayesinde hem dekontaminasyon hem de son parlatma tek adımda birleşiyor."
EF0101,
EF0202,
EF0303,
IF0404,
EF0606,
EF0808,
IF0909,
IF1111,
EF1212,
EF1313,
IF1414,
EF1616,
EF1717,
EF1818,
EF1919,
EF0220,
IF2939,
IF3243,
EF3963,
EF4064,
EF1754,"ürün, sıradan bir koku deneyiminden çok daha fazlasını sunuyor. 
 
Kış temalı oda kokusu, araba için koku, uzun süre etkili koku, Little Joe Nane Mentol, toksik madde içermeyen koku, ferahlatıcı kış kokusu, alkol içermeyen oda kokusu, 45 gün kalıcı koku. 
 
Little Joe Nane Mentol ile bulunduğunuz her alanı Avrupa’nın büyüleyici kış atmosferine dönüştürün. Şimdi deneyin ve ferahlığın keyfini çıkarın!"
EF1655,
IF0453,
SJ0402,
LO2602,
LO2601,
LE3739,
LE3801,
LE3620,
ED0101,
ED0202,
ED0303,
ID0404,
ED0606,
ID0909,
IY1401,
EY0202,
EY1213,
EY3311,
IY2939,
EY2409,
EP0101,
EP0309,
EP2754,
EP2455,
EP3539,
78156,
76385,
76386,
78157,
76384,
78158,
75229,
78761,
75228,
PS0101,
PS2002,
PS0313,
PS0404,
PS0606,
PS0707,
PS0821,
PS0931,
76762,
SC2201,"z ortamın enerjisini değiştirecek. 
 
Vanilya kokulu koku kartı, uzun süre etkili oda kokusu, araba için koku kartı, Little Joe Vanilya, toksik madde içermeyen koku, ferahlatıcı koku kartı, vanilya kokusu, 45 gün etkili koku. 
 
Little Joe Scented Card Vanilya ile her ortamda vanilyanın sıcak ve ferahlatıcı etkisini hissedin. Eşsiz kokusuyla keyifli bir yaşam alanı yaratın!"
SC0223,
SC2304,
SC0922,
SC2424,
SC2508,
SC1515,
JS1057,
JS0458,
JS0859,
JS1360,
JS0161,
JS0962,
76389,
78608,
78610,
78615,
EF1515,
ED1515,
Q2M-OR500M,"–3 ayda bir; yoğun koku durumunda 1 ayda bir. 
 
 
Kokuları saklama değil, yok etme zamanı! Püskürt, bekle ve ferahlığı hisset — profesyonel koku giderme artık herkesin elinde!"
79415,
74436,
701610,
TF1138,
TF0137,
TF2136,
76283,
76280,
Q2M-ORP4P,
Q2M-GPYA1000M,
700662,
700466,
71176,
JC0101,
74955,
701606,
06008.056.001,
12001.056.001,
07001.056.001,
07945.056.001,
07163.056.001,
12002.056.001,
07008.056.001,
07006.056.001,
07201.056.001,
07984.056.001,
07933.056.001,
70933,
Q2M-FCNA1000M,
Q2M-PRYA250M," verin – Q²M Preserve, iç-dış trimlere fabrika çıkışı görünümü geri kazandırır!"
Q2M-TRC500M,"k ve vinil yüzeyleriniz her zaman fabrika çıkışı gibi mat, temiz ve toza dirençli kalsın. Tek adımda derin temizlik, kalıntısız sonuç!"
73378,
77075,
77080,
70901,
74598,
Q2M-PM500M,
701285,
79771,
79818,
77019,re ekleyin
Q2M-APYA4000M,
Q2M-IDYA4000M,
Q2M-DT10P,"i doğrudan hazneye dökün, gerekirse suyla seyreltin. 
 
 
Yüzeyi gerçekten çıplak, yağsız ve kaplamaya hazır bırakmak istiyorsanız, DegreaseTabs ile ilk adımdan avantajı yakalayın – tablet at, çöz, yıka, durula ve kaplamaya geç!"
70894,
75132,
75277,
71110,
70723,
75404,
71676,
701010,
77192,
79298,
Q2-LCR500M,
Q2M-LCSYA1000M,
700468,
71132,
Q2M-LSSYA200M,
Q2M-LCN1000M,"Hayır. Köpük formu deliklerden akmaz; ilk havluyla hafifçe silmek yeterlidir. 
Q: Mevcut LeatherShield kaplamasını söker mi? 
A: Düzenli bakım dozunda (100 ml/araç) kaplamayı etkilemez; sadece yüzey kirini çözer. 
Q: Deriyi kurutur mu, çatlama yapar mı? 
A: pH-nötr formül deri nem dengesine zarar vermez; uzun vadeli koruma için sonrasında LeatherCoat önerilir. 
Q: Vinil veya sentetik deri döşemede kullanabilir miyim? 
A: Vinil yüzeylerde temizlik sağlar ancak asıl etkisi gerçek deride optimize edilmiştir. 
 
 
Deri döşemenizi ilk günkü mat zarafetine döndürün, kaplama için mükemmel zemin hazırlayın – Q²M LeatherCleaner Natural ile her temizlik, lüks konforunuzu koruyan nazik ama güçlü bir adım!"
Q2M-LSN200M,
75130,
75131,
24011.261.080,"rdında bir wax veya sealant tabakası bırakmaz. Polisaj işlemi bittikten ve yüzeyi sildikten sonra, uzun süreli koruma sağlayacak bir marine wax veya sealant uygulamadan önce, yüzeyi GYEON Q²M Prep veya INNOVACAR D2 CHECK gibi bir (IPA) bazlı temizleyici ile silin. Bu, yüzeydeki tüm polisaj yağlarını arındırarak koruma ürününün jelkot yüzeye mükemmel bir şekilde yapışmasını sağlar.

MENZERNA İLE TEKNENİZİN İHTİŞAMINI YENİDEN KEŞFEDİN!"
75112,
701283,
MT14850M,
HPG11850M,
TT01T10M,
Q2M-MT6X18M,
Q2M-SDE7090C,"eke endişesini ortadan kaldırır. Tek geçiş, devasa su emişi ve kalıcı yumuşaklık – profesyonel sonuçlar artık herkesin elinde!"
3213EMR,
Q2M-SODE6080C,
3215D,
Q2M-SWE4040C,
Q2M-PWE4040C,e kalıcı dayanıklılık – profesyonel sonuçlar artık elinizde!
Q2M-BWE4040,
3217HS-5G,
Q2M-STE," ve Ã¼tÃ¼ yapmayÄ±n.
â¢ ÃrÃ¼nÃ¼n temiz ve partikÃ¼lsÃ¼z olduÄundan emin olarak saklayÄ±n.

Ä°PUCU:
YÄ±kama esnasÄ±nda Ã§ift kova tekniÄini kullanarak, aracÄ±nÄ±zÄ±n boya yÃ¼zeyindeki swirl (ince Ã§izik) oluÅumunu en aza indirebilirsiniz.

AracÄ±nÄ±zÄ± temizlerken maksimum performans ve Ã§iziksiz temizlik arÄ±yorsanÄ±z, GYEON QÂ²M Smoothie EVO sizin iÃ§in en doÄru seÃ§im olacaktÄ±r."
3221A-RD,yin ve göz alıcı parlaklığın keyfini çıkarın!
3227I-HD,
Q2M-WME,"anmayın, doğal ortamda asarak kurutun. 
• Ütülemeyin, çamaşır suyu ve yumuşatıcı gibi agresif temizleyiciler kullanmayın. 
• Kullanım öncesi eldiveni temiz olduğundan emin olun ve kir birikimini önlemek için her kullanım sonrasında mutlaka temizleyin. 
 
PROFESYONEL DETAYLANDIRMANIN VAZGEÇİLMEZ PARÇASI 
 
GYEON Q²M WheelMitt EVO, üstün kalitesi ve benzersiz performansıyla jant temizliğinde yepyeni bir standart belirliyor. Her kullanımda profesyonel sonuçlar elde edin, aracınızın jantlarında güvenli ve detaylı temizliğin keyfini yaşayın. 
 
GYEON Q²M WheelMitt EVO ile kusursuz jant temizliğine ulaşmak artık çok kolay!"
Q2M-GWE4040,"in SilkDryer EVO tavsiye edilir. 
 
GYEON Q²M GlassWipe EVO, waffle dokusu ve yüksek GSM’iyle cam temizliğini kusursuzlaştırır; iz bırakmayı geçmişte bırakın, net görüşe merhaba deyin!"
3218,
Q2M-IWE40402P,
Q2M-LWE40402P,
Q2M-SEP1010C,
KLIN-3113AG,
Q2M-IPE4P,"lanÄ±m alanÄ±na gÃ¶re gruplandÄ±rarak ayrÄ± ayrÄ± yÄ±kayÄ±n, bÃ¶ylece Ã§apraz kirlenmeyi Ã¶nleyebilirsiniz.

NEDEN GYEON QÂ²M INTERIORPACK EVO TERCÄ°H EDÄ°LMELÄ°?

?? TÃ¼m Ä°Ã§ DetaylandÄ±rma Ä°htiyaÃ§larÄ±nÄ±z Ä°Ã§in Tek Set
FarklÄ± iÃ§ yÃ¼zeylerin ihtiyaÃ§larÄ±na Ã¶zel geliÅtirilmiÅ bezler sayesinde, araÃ§ iÃ§i temizliÄi ve bakÄ±mÄ±nda tek pakette profesyonel sonuÃ§lar.
?? ÃstÃ¼n Kaliteli Lazer Kesim Mikrofiber YapÄ±
Bezlerin ultrasonik lazer kesim kenarlarÄ± yÃ¼zeylerde iz veya Ã§izik bÄ±rakmaz. BÃ¶ylece gÃ¼venli ve kusursuz temizlik saÄlar.
?? Uzun ÃmÃ¼rlÃ¼ ve DayanÄ±klÄ± KullanÄ±m
YÃ¼ksek GSM oranÄ±, kaliteli Ã¼retim materyali ve Ã¶zenli iÅÃ§ilik sayesinde uzun Ã¶mÃ¼rlÃ¼ ve tekrar kullanÄ±labilir bezlerdir.
?? Ãok YÃ¶nlÃ¼ KullanÄ±m AlanlarÄ±
AraÃ§ iÃ§ plastik, deri, cam ve Alcantara yÃ¼zeylerde Ã¼stÃ¼n performans sunmasÄ±nÄ±n yanÄ± sÄ±ra ev ve ofislerdeki detaylÄ± temizlik ihtiyaÃ§larÄ±nÄ±za da mÃ¼kemmel Ã§Ã¶zÃ¼mler sunar.

GYEON QÂ²M INTERIORPACK EVO Ä°LE PROFESYONEL Ä°Ã TEMÄ°ZLÄ°K DENEYÄ°MÄ°

GYEON QÂ²M InteriorPack EVO, araÃ§ iÃ§i temizlik uygulamalarÄ±nda profesyonellerin tercihi olmasÄ±nÄ±n yanÄ± sÄ±ra detaylandÄ±rma tutkunlarÄ±nÄ±n da vazgeÃ§ilmez setidir. AracÄ±nÄ±zÄ±n iÃ§ temizliÄini her zaman ilk gÃ¼nkÃ¼ gibi korumanÄ±z iÃ§in gerekli tÃ¼m mikrofiber bezleri tek pakette sunarak, zamandan ve bÃ¼tÃ§enizden tasarruf etmenizi saÄlar.

GYEON QÂ²M InteriorPack EVO ile aracÄ±nÄ±zÄ±n iÃ§ yÃ¼zeylerinde derinlemesine temizlik, gÃ¼venli kullanÄ±m ve profesyonel bir sonuÃ§ elde edin!"
Q2M-GPE2P,
Q2M-WP,
3215ZB,
3217HS-5W,
3218-1,
Q2M-WD4060C,"¢ Cam veya araÃ§ yÃ¼zeylerinde silme iÅlemini hafif baskÄ± uygulayarak yapÄ±n.
â¢ Kurulama iÅlemi sÄ±rasÄ±nda havluyu dÃ¼zenli olarak ters Ã§evirerek temiz yÃ¼zeylerden yararlanÄ±n.
â¢ KullanÄ±m sonrasÄ± temiz su ile yÄ±kayÄ±p, asarak kurutun.

BAKIM VE YIKAMA ÃNERÄ°LERÄ°

â¢ Mikrofiber havlu temizliÄi iÃ§in Ã¶zel Towelwash deterjan kullanÄ±lmasÄ± Ã¶nerilir.
â¢ Maksimum 30Â°C sÄ±caklÄ±kta Ã§amaÅÄ±r makinesinde yÄ±kayÄ±n.
â¢ ÃamaÅÄ±r suyu, yumuÅatÄ±cÄ± veya benzeri agresif temizlik Ã¼rÃ¼nleri kullanmayÄ±n.
â¢ ÃtÃ¼leme ve kuru temizleme yapmayÄ±n.
â¢ ÃrÃ¼nÃ¼n emiciliÄini korumak iÃ§in havlu kurutucuda kurutmayÄ±n, doÄal ortamda asarak kurutun.
?? Ä°PUCU:
Waffle Dryer EVO havlunuzu cam silme iÃ§in Ã¶zel olarak ayÄ±rarak, Ã§apraz kirlenme riskini azaltabilir ve her zaman mÃ¼kemmel sonuÃ§lar alabilirsiniz.

NEDEN GYEON QÂ²M WAFFLE DRYER EVO?

?? % artÄ±rÄ±lmÄ±Å su emme kapasitesiyle maksimum kurulama performansÄ±
?? Ãzel petek dokusuyla iz ve tÃ¼y bÄ±rakmadan Ã¼stÃ¼n cam temizliÄi
?? KÃ¼Ã§Ã¼k detay alanlarÄ±nda rahat kullanÄ±m saÄlayan ergonomik boyut
?? GÃ¼Ã§lendirilmiÅ kenar tasarÄ±mÄ±yla Ã§izik ve iz oluÅumunu tamamen engeller
?? Profesyonel detaylandÄ±rma ve gÃ¼nlÃ¼k kullanÄ±m iÃ§in vazgeÃ§ilmez yardÄ±mcÄ±

GYEON QÂ²M Waffle Dryer EVO ile araÃ§ yÃ¼zeylerinde kusursuz kurutma ve temizliÄin keyfini yaÅayÄ±n."
3225A-BL,
3227B,
3228R,
70919,
3219,
3236NBR2,
26900.224.010,
26900.224.011,
26900.224.012,
26907.099.001,
26908.099.001,
26909.099.001,
26900.223.003,
26906.099.001,
26915.099.001,
26913.099.001,
PU150F-C,
KP160-22L,
NPMW6555,
GE180F-C,
GRY180F-C,
RE180F-C,
PU140F-C,
GPRO180F-C,
DOR150F-C,
DOR160F,
VPRO160F,
GRY200F,
RE200F,
GPRO200F,
SVPRO160F,
GRY6555,
BUR060,
GPRO060,
SGGA081,
KP160-22KL,
