sku,use_before,use_after,use_with,accessories,alternatives
SGGD285,,,,,
SGGD289,,,,,
Q2M-SCOV,,,Q2M-SWCOV,,
Q2M-SWCOV,,,Q2M-SCOV,,
79472,,,,,
Q2M-KM,,,,,
KLIN-3251BL,,,,,
SGGD233,,,,,
481491,,,,,"532024,405418"
532024,,,,,"481491,405418"
405418,,,,,"481491,532024"
530375,,,"445894,417882",,
463302,,,,,"486728,530375"
486728,,,"445894,417882",,"530375,463302"
SGGD402,,,,,
70863,,,,,70868
70868,,,,,70863
71706,,,,,
75138,,,,,701908
75140,,,,,71706
701908,,,,,75138
Q2M-TE500M,,"Q2M-TCYA500M,Q2M-TCYA1000M",,,Q2M-TEYA1000M
Q2M-TEYA1000M,,"Q2M-TCYA500M,Q2M-TCYA1000M",,,Q2M-TE500M
Q2M-TCYA1000M,"Q2M-TEYA1000M,Q2M-TE500M",,,,Q2M-TCYA500M
Q2M-TCYA500M,"Q2M-TE500M,Q2M-TEYA1000M",,,,Q2M-TCYA1000M
