# Completed SKUs - Product Data Enrichment Pipeline
# Format: SKU | Status | Has URLs | Timestamp
# ================================================
# Category: abrasive_polishes (40 products - COMPLETED)

# Pilot Test (5)
22748.281.001 | completed | urls:3 | 2026-02-04T12:30:00Z
Q2M-CRYA100M | completed | no_urls | 2026-02-04T20:00:00Z | ISSUE: ceramic_coating → paint_protection (Cure - bakım spreyi)
Q2-PR1000M | completed | no_urls | 2026-02-04T20:00:00Z | ISSUE: ceramic_coating → abrasive_polishes (Primer - bitiş cilası)
Q2-PR120M | completed | no_urls | 2026-02-04T20:00:00Z | ISSUE: ceramic_coating → abrasive_polishes (Primer - bitiş cilası)

# ================================================
# CATEGORY SUMMARY: ceramic_coatings
# Total: 35 products processed
# GYEON: 28, MX-PRO: 6, INNOVACAR: 3
# Sub_type issues: 5 (2 Prep, 1 Cure, 2 Primer)
# Coating types: paint(10), kits(3), specialty(22)
# Status: COMPLETED
# ================================================

# ================================================
# Category: car_shampoo (41 products - COMPLETED)

# GYEON pH Neutral Shampoos (5)
Q2M-BYA500M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-BYA1000M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-BYA4000M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-BPYA500M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-BPYA1000M | completed | no_urls | 2026-02-04T21:00:00Z

# GYEON PPF & Foam Shampoos (3)
Q2M-FYA1000M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-FYA4000M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-PPFW500M | completed | no_urls | 2026-02-04T21:00:00Z

# GYEON Decon & Rinseless (4)
Q2M-RWYA500M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-RWYA1000M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-RW1000M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-EW500M | completed | no_urls | 2026-02-04T21:00:00Z
Q2M-EW1000M | completed | no_urls | 2026-02-04T21:00:00Z

# GYEON Towel Wash (1)
Q2M-TWYA500M | completed | no_urls | 2026-02-04T21:00:00Z

# INNOVACAR pH Neutral & Enzyme (6)
79283 | completed | no_urls | 2026-02-04T21:00:00Z
79284 | completed | no_urls | 2026-02-04T21:00:00Z
700507 | completed | no_urls | 2026-02-04T21:00:00Z
700508 | completed | no_urls | 2026-02-04T21:00:00Z
79280 | completed | no_urls | 2026-02-04T21:00:00Z
79281 | completed | no_urls | 2026-02-04T21:00:00Z

# INNOVACAR Specialty (5)
79286 | completed | no_urls | 2026-02-04T21:00:00Z
79290 | completed | no_urls | 2026-02-04T21:00:00Z
701062 | completed | no_urls | 2026-02-04T21:00:00Z
701422 | completed | no_urls | 2026-02-04T21:00:00Z

# FRA-BER pH Neutral & General (6)
71490 | completed | no_urls | 2026-02-04T21:00:00Z
70778 | completed | no_urls | 2026-02-04T21:00:00Z
701003 | completed | no_urls | 2026-02-04T21:00:00Z
71180 | completed | no_urls | 2026-02-04T21:00:00Z
73575 | completed | no_urls | 2026-02-04T21:00:00Z
701851 | completed | no_urls | 2026-02-04T21:00:00Z

# FRA-BER Prewash/Foam (10)
70616 | completed | no_urls | 2026-02-04T21:00:00Z
701801 | completed | no_urls | 2026-02-04T21:00:00Z
75021 | completed | no_urls | 2026-02-04T21:00:00Z
701980 | completed | no_urls | 2026-02-04T21:00:00Z
70942 | completed | no_urls | 2026-02-04T21:00:00Z
700387 | completed | no_urls | 2026-02-04T21:00:00Z
72042 | completed | no_urls | 2026-02-04T21:00:00Z
70640 | completed | no_urls | 2026-02-04T21:00:00Z
74258 | completed | no_urls | 2026-02-04T21:00:00Z
78783 | completed | no_urls | 2026-02-04T21:00:00Z
78784 | completed | no_urls | 2026-02-04T21:00:00Z

# ================================================
# CATEGORY SUMMARY: car_shampoo
# Total: 41 products processed
# GYEON: 14 (Bathe, Bathe+, Foam, PPF, RestartWash, EcoWash, TowelWash)
# INNOVACAR: 10 (S2 Foamy, SP1 Prewash, SM Micron, S4 Infinity, S6 Matt)
# FRA-BER: 17 (Bersolux, Neve, Poker, X-XS, Tri-Foam, Perfect Wash, etc.)
# Sub_types: ph_neutral_shampoo, ceramic_infused_shampoo, prewash_foaming_shampoo,
#            ppf_shampoo, decon_shampoo, rinseless_wash, towel_wash
# Status: COMPLETED
# ================================================

# ================================================
# Category: polishing_pad (43 products - COMPLETED)

# MENZERNA Foam Pads (7)
26.900.224.010 | completed | no_urls | 2026-02-04T22:00:00Z
26.900.224.011 | completed | no_urls | 2026-02-04T22:00:00Z
26.900.224.012 | completed | no_urls | 2026-02-04T22:00:00Z
26.907.099.001 | completed | no_urls | 2026-02-04T22:00:00Z
26.908.099.001 | completed | no_urls | 2026-02-04T22:00:00Z
26.909.099.001 | completed | no_urls | 2026-02-04T22:00:00Z
26.900.223.003 | completed | no_urls | 2026-02-04T22:00:00Z

# MENZERNA Wool Pads (4)
26.914.099.001 | completed | no_urls | 2026-02-04T22:00:00Z
26.906.099.001 | completed | no_urls | 2026-02-04T22:00:00Z
26.915.099.001 | completed | no_urls | 2026-02-04T22:00:00Z
26.913.099.001 | completed | no_urls | 2026-02-04T22:00:00Z

# MG PS Orbital Foam Pads (12)
PU150F-C | completed | no_urls | 2026-02-04T22:00:00Z
GPRO150F-C | completed | no_urls | 2026-02-04T22:00:00Z
GE180F-C | completed | no_urls | 2026-02-04T22:00:00Z
GRY180F-C | completed | no_urls | 2026-02-04T22:00:00Z
RE180F-C | completed | no_urls | 2026-02-04T22:00:00Z
PU140F-C | completed | no_urls | 2026-02-04T22:00:00Z
GPRO180F-C | completed | no_urls | 2026-02-04T22:00:00Z
GE150F-C | completed | no_urls | 2026-02-04T22:00:00Z
DOR150F-C | completed | no_urls | 2026-02-04T22:00:00Z
GRY150F-C | completed | no_urls | 2026-02-04T22:00:00Z
GRY100F-C | completed | no_urls | 2026-02-04T22:00:00Z
RE150F-C | completed | no_urls | 2026-02-04T22:00:00Z
GPRO100F-C | completed | no_urls | 2026-02-04T22:00:00Z

# MG PS Rotary Foam Pads (12)
DOR160F | completed | no_urls | 2026-02-04T22:00:00Z
VPRO160F | completed | no_urls | 2026-02-04T22:00:00Z
GRY200F | completed | no_urls | 2026-02-04T22:00:00Z
RE200F | completed | no_urls | 2026-02-04T22:00:00Z
GPRO200F | completed | no_urls | 2026-02-04T22:00:00Z
SVPRO160F | completed | no_urls | 2026-02-04T22:00:00Z
GRY180F | completed | no_urls | 2026-02-04T22:00:00Z
GRY160F | completed | no_urls | 2026-02-04T22:00:00Z
RE180F | completed | no_urls | 2026-02-04T22:00:00Z
RE160F | completed | no_urls | 2026-02-04T22:00:00Z
GPRO180F | completed | no_urls | 2026-02-04T22:00:00Z
GPRO160F | completed | no_urls | 2026-02-04T22:00:00Z

# MG PS Mini/Nano Pads (4)
GRY6555 | completed | no_urls | 2026-02-04T22:00:00Z
BUR060 | completed | no_urls | 2026-02-04T22:00:00Z
GPRO060 | completed | no_urls | 2026-02-04T22:00:00Z
NPMW6555 | completed | no_urls | 2026-02-04T22:00:00Z

# MG PS Wool Pads (2)
KP160-22L | completed | no_urls | 2026-02-04T22:00:00Z
KP160-22KL | completed | no_urls | 2026-02-04T22:00:00Z

# SGCB Felt Pad (1)
SGGA081 | completed | no_urls | 2026-02-04T22:00:00Z

# ================================================
# CATEGORY SUMMARY: polishing_pad
# Total: 43 products processed
# MENZERNA: 11 (7 foam, 4 wool)
# MG PS: 31 (12 orbital, 12 rotary, 4 mini/nano, 2 wool, 1 microfiber)
# SGCB: 1 (glass polishing felt)
# Sub_types: foam_pad, wool_pad, microfiber_pad, felt_pad
# Cut Levels: Heavy Cut, Medium Cut, Finish, Ultra Finish, One Step, Protection/Wax
# Status: COMPLETED
# ================================================
